Question ID	Model
14453	openrouter/owl-alpha
14489	openrouter/poolside/laguna-m.1:free
14680	minimax/MiniMax-M3
14573	minimax/MiniMax-M3
14839	openrouter/poolside/laguna-m.1:free
14942	openai/gpt-5.5
14818	openrouter/owl-alpha
14399	openrouter/owl-alpha
14519	openai/gpt-5.5
15038	openai/gpt-5.5
14835	openai/gpt-5.5
14468	openrouter/owl-alpha
14677	openrouter/owl-alpha
14667	minimax/MiniMax-M3
15032	openrouter/owl-alpha
14398	xai/grok-build-0.1
15026	openrouter/owl-alpha
14947	openai/gpt-5.5
14504	openrouter/owl-alpha
14692	openai/gpt-5.5
15008	openrouter/poolside/laguna-m.1:free
14833	openrouter/owl-alpha
14401	openai/gpt-5.5
15041	openai/gpt-5.5
14939	openrouter/owl-alpha
15080	minimax/MiniMax-M3
14390	openrouter/poolside/laguna-m.1:free
14481	openai/gpt-5.5
14932	openai/gpt-5.5
14392	openrouter/owl-alpha
14858	openai/gpt-5.5
15002	openrouter/owl-alpha
14993	openai/gpt-5.5
14904	openrouter/owl-alpha
14684	openai/gpt-5.5
15036	openai/gpt-5.5
14403	openai/gpt-5.5
14885	openrouter/owl-alpha
15019	openai/gpt-5.5
14911	minimax/MiniMax-M3
14840	xai/grok-build-0.1
14961	openrouter/owl-alpha
14867	openai/gpt-5.5
14859	openrouter/owl-alpha
14432	openrouter/owl-alpha
15020	openai/gpt-5.5
14887	openai/gpt-5.5
14862	openai/gpt-5.5
14863	xai/grok-build-0.1
22164	openrouter/owl-alpha
17116	openrouter/poolside/laguna-m.1:free
17233	minimax/MiniMax-M3
17102	openai/gpt-5.5
17715	minimax/MiniMax-M3
17458	openrouter/owl-alpha
17265	openrouter/owl-alpha
17750	openrouter/owl-alpha
17471	openrouter/owl-alpha
22143	openai/gpt-5.5
17422	minimax/MiniMax-M3
22175	openrouter/owl-alpha
17251	openai/gpt-5.5
17086	openai/gpt-5.5
17955	openrouter/owl-alpha
17089	openai/gpt-5.5
19903	minimax/MiniMax-M3
19094	minimax/MiniMax-M3
18291	openrouter/owl-alpha
19400	openrouter/owl-alpha
17106	openai/gpt-5.5
19919	openrouter/poolside/laguna-m.1:free
22198	minimax/MiniMax-M3
17892	openrouter/owl-alpha
19251	minimax/MiniMax-M3
17377	minimax/MiniMax-M3
17708	openrouter/owl-alpha
17194	minimax/MiniMax-M3
17881	openrouter/owl-alpha
14323	openrouter/owl-alpha
14327	minimax/MiniMax-M3
14311	openai/gpt-5.5
14319	openrouter/owl-alpha
22719	openai/gpt-5.5
14318	openrouter/owl-alpha
14310	openrouter/owl-alpha
14321	xai/grok-build-0.1
14347	openrouter/owl-alpha
14342	openai/gpt-5.5
20633	openai/gpt-5.5
14348	minimax/MiniMax-M3
17281	minimax/MiniMax-M3
21154	openai/gpt-5.5
14334	openai/gpt-5.5
14314	xai/grok-build-0.1
17468	openrouter/poolside/laguna-m.1:free
17020	minimax/MiniMax-M3
14343	openai/gpt-5.5
14355	openrouter/owl-alpha
14345	openrouter/owl-alpha
19638	openrouter/owl-alpha
14352	openai/gpt-5.5
17372	openrouter/poolside/laguna-m.1:free
18502	openrouter/owl-alpha
20911	xai/grok-build-0.1
14351	minimax/MiniMax-M3
19338	openai/gpt-5.5
20358	openai/gpt-5.5
22611	openrouter/owl-alpha
14295	openai/gpt-5.5
14293	openrouter/owl-alpha
14369	openrouter/owl-alpha
14237	openai/gpt-5.5
14268	openrouter/owl-alpha
14226	xai/grok-build-0.1
14225	openrouter/owl-alpha
17157	openrouter/owl-alpha
14234	openai/gpt-5.5
18134	minimax/MiniMax-M3
14233	openai/gpt-5.5
14241	openrouter/owl-alpha
14231	openai/gpt-5.5
22648	minimax/MiniMax-M3
19851	openrouter/owl-alpha
14244	minimax/MiniMax-M3
14236	openrouter/owl-alpha
14223	openrouter/owl-alpha
14286	openrouter/owl-alpha
14227	xai/grok-build-0.1
22608	openrouter/owl-alpha
14250	openrouter/owl-alpha
21453	openrouter/owl-alpha
18042	minimax/MiniMax-M3
14229	openai/gpt-5.5
22422	xai/grok-build-0.1
17012	openrouter/owl-alpha
20924	openrouter/owl-alpha
17419	openrouter/owl-alpha
17260	minimax/MiniMax-M3
17037	openrouter/owl-alpha
22419	openrouter/owl-alpha
22470	openai/gpt-5.5
22433	openrouter/poolside/laguna-m.1:free
22427	openrouter/owl-alpha
22456	openrouter/owl-alpha
22412	minimax/MiniMax-M3
17764	minimax/MiniMax-M3
20499	xai/grok-build-0.1
17001	openai/gpt-5.5
17162	minimax/MiniMax-M3
17231	xai/grok-build-0.1
17430	minimax/MiniMax-M3
22492	openai/gpt-5.5
22416	xai/grok-build-0.1
19768	openai/gpt-5.5
19506	xai/grok-build-0.1
22462	openrouter/owl-alpha
22423	openai/gpt-5.5
17347	openrouter/poolside/laguna-m.1:free
22520	openrouter/owl-alpha
22455	openrouter/owl-alpha
22444	openai/gpt-5.5
20446	openai/gpt-5.5
17074	minimax/MiniMax-M3
22494	openai/gpt-5.5
22491	anthropic/claude-sonnet-4-6
19029	openai/gpt-5.5
22442	anthropic/claude-sonnet-4-6
22440	openrouter/poolside/laguna-m.1:free
22477	anthropic/claude-sonnet-4-6
22414	minimax/MiniMax-M3
18427	minimax/MiniMax-M3
19123	anthropic/claude-sonnet-4-6
19461	openai/gpt-5.5
15149	openai/gpt-5.5
17209	openrouter/poolside/laguna-m.1:free
17308	minimax/MiniMax-M3
15146	minimax/MiniMax-M3
15145	minimax/MiniMax-M3
15132	openai/gpt-5.5
15136	openai/gpt-5.5
17171	openai/gpt-5.5
15134	openai/gpt-5.5
17071	anthropic/claude-sonnet-4-6
15143	openai/gpt-5.5
15151	openai/gpt-5.5
15144	xai/grok-build-0.1
15141	openai/gpt-5.5
15130	openrouter/nex-agi/nex-n2-pro:free
15185	openrouter/nex-agi/nex-n2-pro:free
15129	openai/gpt-5.5
17067	openai/gpt-5.5
17518	openai/gpt-5.5
15218	openai/gpt-5.5
15199	openrouter/nex-agi/nex-n2-pro:free
18224	anthropic/claude-sonnet-4-6
15223	openai/gpt-5.5
17557	xai/grok-build-0.1
15215	minimax/MiniMax-M3
15217	openrouter/poolside/laguna-m.1:free
20064	openrouter/nex-agi/nex-n2-pro:free
19298	openai/gpt-5.5
15098	openai/gpt-5.5
15139	openai/gpt-5.5
15131	anthropic/claude-sonnet-4-6
15111	openai/gpt-5.5
21581	openai/gpt-5.5
15236	minimax/MiniMax-M3
20390	openai/gpt-5.5
15239	openai/gpt-5.5
15167	openai/gpt-5.5
15248	openai/gpt-5.5
15097	openai/gpt-5.5
15086	openrouter/nex-agi/nex-n2-pro:free
15123	openai/gpt-5.5
15091	minimax/MiniMax-M3
15087	minimax/MiniMax-M3
15088	openai/gpt-5.5
15100	openai/gpt-5.5
15089	minimax/MiniMax-M3
16167	xai/grok-build-0.1
18620	openai/gpt-5.5
16110	openai/gpt-5.5
19500	minimax/MiniMax-M3
22319	anthropic/claude-sonnet-4-6
16052	openrouter/nex-agi/nex-n2-pro:free
16115	anthropic/claude-sonnet-4-6
16185	openai/gpt-5.5
22299	openai/gpt-5.5
16029	openai/gpt-5.5
19309	openai/gpt-5.5
16126	openai/gpt-5.5
17590	openai/gpt-5.5
16058	anthropic/claude-sonnet-4-6
20629	openrouter/nex-agi/nex-n2-pro:free
16002	openai/gpt-5.5
19827	minimax/MiniMax-M3
17165	openai/gpt-5.5
16046	openai/gpt-5.5
18329	minimax/MiniMax-M3
16017	openrouter/nex-agi/nex-n2-pro:free
16014	anthropic/claude-sonnet-4-6
16162	openai/gpt-5.5
16033	openai/gpt-5.5
17827	openai/gpt-5.5
16165	anthropic/claude-sonnet-4-6
17362	openai/gpt-5.5
16035	anthropic/claude-sonnet-4-6
16016	openrouter/nex-agi/nex-n2-pro:free
16076	openai/gpt-5.5
17244	openrouter/nex-agi/nex-n2-pro:free
19346	minimax/MiniMax-M3
20948	anthropic/claude-sonnet-4-6
19356	xai/grok-build-0.1
19814	openai/gpt-5.5
16173	openai/gpt-5.5
18983	anthropic/claude-sonnet-4-6
16180	openai/gpt-5.5
19743	openrouter/poolside/laguna-m.1:free
16049	openai/gpt-5.5
19712	minimax/MiniMax-M3
17884	openai/gpt-5.5
20416	openrouter/nex-agi/nex-n2-pro:free
18946	minimax/MiniMax-M3
17515	openrouter/nex-agi/nex-n2-pro:free
19383	openrouter/poolside/laguna-m.1:free
17611	minimax/MiniMax-M3
20149	minimax/MiniMax-M3
17183	openai/gpt-5.5
17357	openai/gpt-5.5
18312	minimax/MiniMax-M3
22008	openrouter/nex-agi/nex-n2-pro:free
19231	minimax/MiniMax-M3
18207	minimax/MiniMax-M3
17718	anthropic/claude-sonnet-4-6
17275	openrouter/nex-agi/nex-n2-pro:free
19896	openai/gpt-5.5
19444	openai/gpt-5.5
20934	openai/gpt-5.5
18075	openai/gpt-5.5
22001	openai/gpt-5.5
22119	openai/gpt-5.5
17971	minimax/MiniMax-M3
19498	minimax/MiniMax-M3
17812	openai/gpt-5.5
18033	openai/gpt-5.5
14058	minimax/MiniMax-M3
14071	minimax/MiniMax-M3
14062	openrouter/nex-agi/nex-n2-pro:free
14122	openai/gpt-5.5
18519	openrouter/nex-agi/nex-n2-pro:free
14144	openai/gpt-5.5
14098	anthropic/claude-sonnet-4-6
14101	minimax/MiniMax-M3
14106	openai/gpt-5.5
14109	openrouter/poolside/laguna-m.1:free
14096	openai/gpt-5.5
14102	openai/gpt-5.5
21353	minimax/MiniMax-M3
14002	openrouter/nex-agi/nex-n2-pro:free
14010	minimax/MiniMax-M3
14004	openai/gpt-5.5
14003	minimax/MiniMax-M3
17685	openrouter/nex-agi/nex-n2-pro:free
14019	anthropic/claude-sonnet-4-6
14023	openai/gpt-5.5
17142	openai/gpt-5.5
17135	minimax/MiniMax-M3
17032	openai/gpt-5.5
17006	openai/gpt-5.5
18826	minimax/MiniMax-M3
17491	openai/gpt-5.5
17763	openai/gpt-5.5
17226	openrouter/nex-agi/nex-n2-pro:free
14035	openrouter/nex-agi/nex-n2-pro:free
18214	minimax/MiniMax-M3
19710	anthropic/claude-sonnet-4-6
17701	minimax/MiniMax-M3
14027	minimax/MiniMax-M3
14049	openrouter/owl-alpha
14042	anthropic/claude-sonnet-4-6
14032	minimax/MiniMax-M3
22771	anthropic/claude-sonnet-4-6
14148	minimax/MiniMax-M3
14171	minimax/MiniMax-M3
14201	xai/grok-build-0.1
14156	openrouter/nex-agi/nex-n2-pro:free
14151	minimax/MiniMax-M3
22845	openrouter/nex-agi/nex-n2-pro:free
17466	minimax/MiniMax-M3
14146	openrouter/owl-alpha
14152	minimax/MiniMax-M3
22746	anthropic/claude-sonnet-4-6
17034	minimax/MiniMax-M3
14162	openai/gpt-5.5
17023	minimax/MiniMax-M3
14187	anthropic/claude-sonnet-4-6
18608	minimax/MiniMax-M3
14155	minimax/MiniMax-M3
19098	openrouter/owl-alpha
14147	minimax/MiniMax-M3
17542	openrouter/nex-agi/nex-n2-pro:free
18473	minimax/MiniMax-M3
22808	minimax/MiniMax-M3
14194	anthropic/claude-sonnet-4-6
22730	minimax/MiniMax-M3
14079	openai/gpt-5.5
14090	anthropic/claude-sonnet-4-6
22756	minimax/MiniMax-M3
14208	minimax/MiniMax-M3
14205	openrouter/owl-alpha
14202	openrouter/nex-agi/nex-n2-pro:free
