"Name","DisplayName","State","StartMode","StartName","ProcessId","PathName"
"GoogleUpdaterInternalService150.0.7863.0","Google Updater Internal Service (GoogleUpdaterInternalService150.0.7863.0)","Stopped","Auto","LocalSystem","0","""C:\Program Files (x86)\Google\GoogleUpdater\150.0.7863.0\updater.exe"" --system --windows-service --service=update-internal"
"GoogleUpdaterService150.0.7863.0","Google Updater Service (GoogleUpdaterService150.0.7863.0)","Stopped","Auto","LocalSystem","0","""C:\Program Files (x86)\Google\GoogleUpdater\150.0.7863.0\updater.exe"" --system --windows-service --service=update"
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","13084","C:\WINDOWS\system32\svchost.exe -k GPSvcGroup"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k GraphicsPerfSvcGroup"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","1220","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"hns","hns","Running","Manual","LocalSystem","5060","C:\WINDOWS\system32\svchost.exe -k NetSvcs -p"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HvHost","HV Host Service","Running","Manual","LocalSystem","1844","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"iaStorAfsService","Intel(R) Optane(TM) Memory Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\iaStorAfsService.exe"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"igccservice","Intel(R) Graphics Command Center Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_29670c30dd54a556\OneApp.IGCC.WinService.exe"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running","Auto","LocalSystem","2876","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_05a153f767b80b04\igfxCUIServiceN.exe"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","3532","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","11788","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_64ca6dfb781d0707\lib\SocketHeciServer.exe"
"Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","Stopped","Auto","LocalSystem","0","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_64ca6dfb781d0707\lib\TPMProvisioningService.exe"
"IntelAudioService","Intel(R) Audio Service","Running","Auto","LocalSystem","3584","C:\WINDOWS\System32\DriverStore\FileRepository\intcoed.inf_amd64_dd6a7ef14d856351\\AS\\IAS\\IntelAudioService.exe"
"InventorySvc","Inventory and Compatibility Appraisal service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p"
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","3540","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Auto","LocalSystem","4156","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_b5484efd38adbe8d\jhi_service.exe"
"KeyIso","CNG Key Isolation","Running","Manual","LocalSystem","1164","C:\WINDOWS\system32\lsass.exe"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"LanmanServer","Server","Running","Auto","LocalSystem","3688","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","3348","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"LenovoFnAndFunctionKeys","Lenovo Fn and function keys service","Running","Auto","LocalSystem","3572","C:\WINDOWS\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_5e21bf389d23855a\LenovoUtilityService.exe"
"lfsvc","Geolocation Service","Running","Manual","LocalSystem","13072","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","11504","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"LITSSVC","Lenovo Notebook ITS Service","Running","Auto","LocalSystem","3564","C:\WINDOWS\System32\LNBITSSvc.exe"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","3460","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LMS","Intel(R) Management and Security Application Local Management Service","Running","Auto","LocalSystem","3940","C:\WINDOWS\System32\DriverStore\FileRepository\lms.inf_amd64_a55aa2cd52a3429d\LMS.exe"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\lsass.exe"
"LSM","LSM","Running","Unknown",,"1536",
"LxpSvc","Language Experience Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"MapsBroker","Downloaded Maps Manager","Stopped","Disabled","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual","NT SERVICE\McmSvc","0","C:\WINDOWS\system32\svchost.exe -k McmSvc -p -s McmSvc"
"McpManagementService","McpManagementService","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k McpManagementServiceGroup"
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","3808","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26050.15-0\MpDefenderCoreService.exe"""
"MessagingService_46f125","MessagingService_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"midisrv","Windows MIDI Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\midisrv.exe"
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","3320","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\msdtc.exe"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"msiserver","Windows Installer","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\msiexec.exe /V"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k NetSvcs -p"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","3528","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Running","Manual","NT AUTHORITY\LocalService","1976","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Netlogon","Netlogon","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\lsass.exe"
"Netman","Network Connections","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\NetworkService","4336","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"NetSetupSvc","NetSetupSvc","Stopped","Unknown",,"0",
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","NT AUTHORITY\LocalService","0","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","Microsoft Passport","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NlaSvc","Network Location Awareness","Running","Auto","NT AUTHORITY\NetworkService","3624","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"NPSMSvc_46f125","Now Playing Session Manager Service_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","1860","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"nvagent","nvagent","Running","Manual","LocalSystem","5244","C:\WINDOWS\system32\svchost.exe -k NetSvcs"
"P9RdrService_46f125","P9RdrService_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k P9RdrService -p"
"PcaSvc","Program Compatibility Assistant Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PenService_46f125","PenService_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k PenService"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationService.exe"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\SysWow64\perfhost.exe"
"PhoneSvc","Phone Service","Stopped","Disabled","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"PimIndexMaintenanceSvc_46f125","Contact Data_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"pla","Performance Logs & Alerts","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"PlugPlay","Plug and Play","Running","Manual","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PolicyAgent","IPsec Policy Agent","Running","Manual","NT Authority\NetworkService","6328","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"Power","Power","Running","Auto","LocalSystem","1316","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k print"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k PrintScanBrokerService -p"
"PrintWorkflowUserSvc_46f125","PrintWorkflow_46f125","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k PrintWorkflow"
"ProfSvc","User Profile Service","Running","Auto","LocalSystem","2132","C:\WINDOWS\system32\svchost.exe -k UserProfileService -p"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"RasMan","Remote Access Connection Manager","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\ReFsDedupSvc.exe"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs"
"RemoteRegistry","Remote Registry","Stopped","Disabled","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k localService -p"
"RetailDemo","Retail Demo Service","Stopped","Disabled","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k rdxgroup"
"RmSvc","Radio Management Service","Running","Manual","NT AUTHORITY\LocalService","5820","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","NT AUTHORITY\NetworkService","1488","C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\system32\locator.exe"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","NT AUTHORITY\NetworkService","1488","C:\WINDOWS\system32\svchost.exe -k rpcss -p"
"RstMwService","Intel(R) Storage Middleware Service","Running","Auto","LocalSystem","3660","C:\WINDOWS\System32\DriverStore\FileRepository\iastorvd.inf_amd64_d9aa4f0713cc07ec\RstMwService.exe"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Auto","LocalSystem","3696","""C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_01de91f5c3258938\RtkAudUService64.exe"""
"SamSs","Security Accounts Manager","Running","Auto","LocalSystem","1164","C:\WINDOWS\system32\lsass.exe"
"SCardSvr","Smart Card","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Schedule","Task Scheduler","Running","Auto","LocalSystem","2060","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"SDRSVC","Windows Backup","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\svchost.exe -k SDRSVC"
"seclogon","Secondary Logon","Running","Manual","LocalSystem","11236","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"SecurityHealthService","Windows Security Service","Running","Manual","LocalSystem","11980","C:\WINDOWS\system32\SecurityHealthService.exe"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"SENS","System Event Notification Service","Running","Auto","LocalSystem","2764","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"SensorDataService","Sensor Data Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\SensorDataService.exe"
"SensorService","Sensor Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"SessionSvc","Session Detection","Running","Auto","LocalSystem","3704","C:\WINDOWS\System32\drivers\SessionService.exe"
"SharedAccess","Internet Connection Sharing (ICS)","Running","Manual","LocalSystem","5656","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","LocalSystem","3252","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
