"Share","Path","Account","AccessControlType","AccessRight"
"C","C:\","HAILKINGJESUS\josh","Allow","Full"
"capacitor","C:\capacitor","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"capacitor","C:\capacitor","Everyone","Allow","Read"
"caveman","C:\caveman","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"caveman","C:\caveman","Everyone","Allow","Read"
"CCF","C:\CCF","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"CCF","C:\CCF","Everyone","Allow","Read"
"ClaudeMD","C:\ClaudeMD","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"ClaudeMD","C:\ClaudeMD","Everyone","Allow","Read"
"claw-code","C:\claw-code","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"claw-code","C:\claw-code","Everyone","Allow","Read"
"dexter","C:\dexter","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"dexter","C:\dexter","Everyone","Allow","Read"
"DMD","C:\DMD","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"DMD","C:\DMD","Everyone","Allow","Read"
"ECC","C:\ECC","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"ECC","C:\ECC","Everyone","Allow","Read"
"EngCC","C:\EngCC","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"EngCC","C:\EngCC","Everyone","Allow","Read"
"Fincept","C:\Fincept","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"Fincept","C:\Fincept","Everyone","Allow","Read"
"future-agi","C:\future-agi","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"future-agi","C:\future-agi","Everyone","Allow","Read"
"GGT","C:\GGT","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"GGT","C:\GGT","Everyone","Allow","Read"
"gitnexus","C:\gitnexus","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"gitnexus","C:\gitnexus","Everyone","Allow","Read"
"gstack","C:\gstack","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"gstack","C:\gstack","Everyone","Allow","Read"
"hermes","C:\hermes","BUILTIN\Administrators","Allow","Full"
"hermes","C:\hermes","Everyone","Allow","Full"
"ILOVEJESUS","C:\ILOVEJESUS","HAILKINGJESUS\josh","Allow","Full"
"JEV","C:\JEV","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"JEV","C:\JEV","Everyone","Allow","Read"
"llmwiki","C:\llmwiki","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"llmwiki","C:\llmwiki","Everyone","Allow","Read"
"Logs","C:\OCBO\Logs","HAILKINGJESUS\josh","Allow","Full"
"MB","C:\MB","BUILTIN\Administrators","Allow","Full"
"MB","C:\MB","Everyone","Allow","Full"
"MB","C:\MB","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"MEV","C:\MEV","BUILTIN\Administrators","Allow","Full"
"MEV","C:\MEV","Everyone","Allow","Full"
"OMC","C:\OMC","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"OMC","C:\OMC","Everyone","Allow","Read"
"OMCodex","C:\OMCodex","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"OMCodex","C:\OMCodex","Everyone","Allow","Read"
"openclaude","C:\openclaude","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"openclaude","C:\openclaude","Everyone","Allow","Read"
"OpenClawWorkspace","C:\OpenClaw\workspace","HAILKINGJESUS\josh","Allow","Full"
"PCC","C:\PCC","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"PCC","C:\PCC","Everyone","Allow","Read"
"PraiseKingJesus","C:\PraiseKingJesus","BUILTIN\Administrators","Allow","Full"
"PraiseKingJesus","C:\PraiseKingJesus","Everyone","Allow","Full"
"quarkdown","C:\quarkdown","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"quarkdown","C:\quarkdown","Everyone","Allow","Read"
"Reuben","C:\Reuben","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"Reuben","C:\Reuben","Everyone","Allow","Read"
"rtk","C:\rtk","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"rtk","C:\rtk","Everyone","Allow","Read"
"superpowers","C:\superpowers","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"superpowers","C:\superpowers","Everyone","Allow","Read"
"symphony","C:\symphony","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"symphony","C:\symphony","Everyone","Allow","Read"
"Synapse","C:\Synapse","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"Synapse","C:\Synapse","Everyone","Allow","Read"
"tradingagents","C:\tradingagents","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"tradingagents","C:\tradingagents","Everyone","Allow","Read"
"ui-ux-pro-max-skill","C:\ui-ux-pro-max-skill","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"ui-ux-pro-max-skill","C:\ui-ux-pro-max-skill","Everyone","Allow","Read"
"Users","C:\Users","BUILTIN\Administrators","Allow","Full"
"Users","C:\Users","Everyone","Allow","Full"
"wanman","C:\wanman","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"wanman","C:\wanman","Everyone","Allow","Read"
"warp","C:\warp","HAILKINGJESUS\OCBO Desk Cluster Admin","Allow","Change"
"warp","C:\warp","Everyone","Allow","Read"
