base,count,normalized,suggestedCode,suggestedPath,confidence,topScore,margin
"CL-130","1","CL-130","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-131","1","CL-131","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-132","1","CL-132","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-133","1","CL-133","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-134","1","CL-134","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-135","1","CL-135","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-136","1","CL-136","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-137","1","CL-137","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-138","1","CL-138","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-139","1","CL-139","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-140","1","CL-140","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-141","1","CL-141","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-142","1","CL-142","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-143","1","CL-143","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-144","1","CL-144","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-145","1","CL-145","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-146","1","CL-146","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-147","1","CL-147","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-148","1","CL-148","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-149","1","CL-149","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-150","1","CL-150","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-151","1","CL-151","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-152","1","CL-152","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-153","1","CL-153","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-154","1","CL-154","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-155","1","CL-155","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-156","1","CL-156","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-158","1","CL-158","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-160","1","CL-160","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-161","1","CL-161","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-163","1","CL-163","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-165","1","CL-165","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-166","1","CL-166","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-178","1","CL-178","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-184","1","CL-184","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-186","1","CL-186","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-187","1","CL-187","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-188","1","CL-188","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-189","1","CL-189","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-190","1","CL-190","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-191","1","CL-191","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-192","1","CL-192","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-193","1","CL-193","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-194","1","CL-194","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-195","1","CL-195","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-196","1","CL-196","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-197","1","CL-197","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-198","1","CL-198","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-199","1","CL-199","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-200","1","CL-200","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-201","1","CL-201","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-202","1","CL-202","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-203","1","CL-203","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-204","1","CL-204","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-205","1","CL-205","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-206","1","CL-206","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-207","1","CL-207","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-208","1","CL-208","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-209","1","CL-209","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-210","1","CL-210","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-211","1","CL-211","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-212","1","CL-212","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-213","1","CL-213","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-214","1","CL-214","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-215","1","CL-215","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-216","1","CL-216","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-217","1","CL-217","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-218","1","CL-218","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-219","1","CL-219","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-220","1","CL-220","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-221","1","CL-221","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-222","1","CL-222","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-223","1","CL-223","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-224","1","CL-224","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-225","1","CL-225","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-226","1","CL-226","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-227","1","CL-227","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-228","1","CL-228","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-229","1","CL-229","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-230","1","CL-230","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-231","1","CL-231","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-232","1","CL-232","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-233","1","CL-233","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-234","1","CL-234","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-235","1","CL-235","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-236","1","CL-236","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-237","1","CL-237","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-238","1","CL-238","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-239","1","CL-239","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-240","1","CL-240","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-241","1","CL-241","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-242","1","CL-242","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-243","1","CL-243","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-244","1","CL-244","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-245","1","CL-245","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-246","1","CL-246","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-247","1","CL-247","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-248","1","CL-248","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-249","1","CL-249","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-250","1","CL-250","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-251","1","CL-251","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-252","1","CL-252","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-253","1","CL-253","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-254","1","CL-254","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-255","1","CL-255","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-256","1","CL-256","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-257","1","CL-257","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-258","1","CL-258","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-259","1","CL-259","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-260","1","CL-260","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-261","1","CL-261","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-262","1","CL-262","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-263","1","CL-263","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-264","1","CL-264","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-265","1","CL-265","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-266","1","CL-266","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-267","1","CL-267","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-268","1","CL-268","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-269","1","CL-269","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-270","1","CL-270","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-271","1","CL-271","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-272","1","CL-272","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-273","1","CL-273","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-274","1","CL-274","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-275","1","CL-275","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-276","1","CL-276","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-277","1","CL-277","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-278","1","CL-278","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-279","1","CL-279","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-280","1","CL-280","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-281","1","CL-281","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-282","1","CL-282","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-283","1","CL-283","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-284","1","CL-284","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-285","1","CL-285","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-286","1","CL-286","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-287","1","CL-287","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-288","1","CL-288","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-289","1","CL-289","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-290","1","CL-290","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-291","1","CL-291","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-292","1","CL-292","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-293","1","CL-293","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-294","1","CL-294","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-295","1","CL-295","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-296","1","CL-296","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-297","1","CL-297","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-298","1","CL-298","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-299","1","CL-299","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-300","1","CL-300","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-301","1","CL-301","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-302","1","CL-302","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-303","1","CL-303","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-304","1","CL-304","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-305","1","CL-305","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-306","1","CL-306","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-307","1","CL-307","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-308","1","CL-308","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-309","1","CL-309","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-310","1","CL-310","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-311","1","CL-311","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-312","1","CL-312","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-313","1","CL-313","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-314","1","CL-314","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-315","1","CL-315","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-316","1","CL-316","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-317","1","CL-317","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-318","1","CL-318","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-319","1","CL-319","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-320","1","CL-320","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-321","1","CL-321","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-322","1","CL-322","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-323","1","CL-323","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-324","1","CL-324","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-325","1","CL-325","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-326","1","CL-326","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-327","1","CL-327","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-328","1","CL-328","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-329","1","CL-329","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-330","1","CL-330","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-331","1","CL-331","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-332","1","CL-332","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-333","1","CL-333","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-334","1","CL-334","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-335","1","CL-335","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-336","1","CL-336","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-337","1","CL-337","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-338","1","CL-338","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-339","1","CL-339","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-340","1","CL-340","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-341","1","CL-341","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-342","1","CL-342","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-343","1","CL-343","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-344","1","CL-344","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-345","1","CL-345","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-346","1","CL-346","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-347","1","CL-347","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-348","1","CL-348","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-349","1","CL-349","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-350","1","CL-350","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-351","1","CL-351","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-352","1","CL-352","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-353","1","CL-353","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-354","1","CL-354","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-355","1","CL-355","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-356","1","CL-356","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-357","1","CL-357","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-358","1","CL-358","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-359","1","CL-359","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-360","1","CL-360","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-361","1","CL-361","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-362","1","CL-362","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-363","1","CL-363","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-364","1","CL-364","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-365","1","CL-365","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-366","1","CL-366","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-367","1","CL-367","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-368","1","CL-368","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-369","1","CL-369","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-370","1","CL-370","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-371","1","CL-371","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-372","1","CL-372","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-373","1","CL-373","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-374","1","CL-374","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-375","1","CL-375","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-376","1","CL-376","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-377","1","CL-377","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-378","1","CL-378","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-379","1","CL-379","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-380","1","CL-380","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
"CL-381","1","CL-381","31010101","Presentation of Evidence > General Provisions > Roles of judge and jury","low","2","0"
