"Scope","Key","RecommendedTemperature"
"providerModel","google/gemini-2.5-flash","1.05"
"providerModel","google/gemini-2.5-flash-lite","1.1"
"providerModel","google/gemini-2.5-pro","0.9"
"providerModel","google/gemini-3-flash-preview","1"
"providerModel","google/gemini-3.1-flash-lite","1"
"providerModel","google/gemini-3.1-pro-preview","1"
"providerModel","grq-compound/groq/compound","0.9"
"providerModel","minimax/MiniMax-M2.7","1"
"providerModel","minimax/MiniMax-M3","1.15"
"providerModel","nemotron-3-ultra-550b/nvidia/nemotron-3-ultra-550b-a55b","0.85"
"providerModel","nv-diffusiongemma-26b/google/diffusiongemma-26b-a4b-it","1.35"
"providerModel","nv-dracarys-70b/abacusai/dracarys-llama-3.1-70b-instruct","1.35"
"providerModel","nv-gemma-4-31b/google/gemma-4-31b-it","1.15"
"providerModel","nv-glm-5-1/z-ai/glm-5.1","0.85"
"providerModel","nv-gpt-oss-120b/openai/gpt-oss-120b","0.9"
"providerModel","nv-gpt-oss-20b/openai/gpt-oss-20b","1"
"providerModel","nv-kimi-2-6/moonshotai/kimi-k2.6","1.05"
"providerModel","nv-llama-3-1-8b/meta/llama-3.1-8b-instruct","1.15"
"providerModel","nv-llama-3-2-11b-vision/meta/llama-3.2-11b-vision-instruct","1"
"providerModel","nv-llama-3-3-70b/meta/llama-3.3-70b-instruct","1"
"providerModel","nv-llama-4-maverick/meta/llama-4-maverick-17b-128e-instruct","1.1"
"providerModel","nv-minimax-m2-7/minimaxai/minimax-m2.7","1"
"providerModel","nv-minimax-m3/minimaxai/minimax-m3","1"
"providerModel","nv-mistral-medium-3-5/mistralai/mistral-medium-3.5-128b","0.95"
"providerModel","nv-mistral-small-4/mistralai/mistral-small-4-119b-2603","1.05"
"providerModel","nv-mixtral-8x7b/mistralai/mixtral-8x7b-instruct-v0.1","1.15"
"providerModel","nv-nemotron-3-nano-30b/nvidia/nemotron-3-nano-30b-a3b","0.9"
"providerModel","nv-nemotron-nano-8b/nvidia/llama-3.1-nemotron-nano-8b-v1","1"
"providerModel","nv-nemotron-nano-9b-v2/nvidia/nvidia-nemotron-nano-9b-v2","0.7"
"providerModel","nv-nemotron-nano-vl-8b/nvidia/llama-3.1-nemotron-nano-vl-8b-v1","0.95"
"providerModel","nv-nemotron-omni-30b/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning","0.85"
"providerModel","nv-nemotron-super-49b-v15/nvidia/llama-3.3-nemotron-super-49b-v1.5","0.85"
"providerModel","nv-nemotron-super-49b/nvidia/llama-3.3-nemotron-super-49b-v1","0.9"
"providerModel","nv-qwen3-5-122b/qwen/qwen3.5-122b-a10b","0.9"
"providerModel","nv-qwen3-5-397b/qwen/qwen3.5-397b-a17b","0.85"
"providerModel","nv-qwen3-next-80b/qwen/qwen3-next-80b-a3b-instruct","0.95"
"providerModel","nv-seed-oss-36b/bytedance/seed-oss-36b-instruct","1.2"
"providerModel","nv-solar-10-7b/upstage/solar-10.7b-instruct","1.05"
"providerModel","nv-step-3-5-flash/stepfun-ai/step-3.5-flash","1.15"
"providerModel","nv-step-3-7-flash/stepfun-ai/step-3.7-flash","1.15"
"providerModel","xai/grok-4.20-beta-latest-non-reasoning","1.15"
"providerModel","xai/grok-4.20-beta-latest-reasoning","0.7"
"providerModel","xai/grok-4.3","0.9"
"providerModel","xai/grok-build-0.1","0.9"
"providerModel","zai/glm-4.5","0.9"
"providerModel","zai/glm-4.5-air","1"
"providerModel","zai/glm-4.5-flash","1.1"
"providerModel","zai/glm-4.5v","1"
"providerModel","zai/glm-4.6","0.95"
"providerModel","zai/glm-4.6v","0.95"
"providerModel","zai/glm-4.7","0.9"
"providerModel","zai/glm-4.7-flash","1.05"
"providerModel","zai/glm-4.7-flashx","1.15"
"providerModel","zai/glm-5","0.85"
"providerModel","zai/glm-5-turbo","1.05"
"providerModel","zai/glm-5.1","0.85"
"providerModel","zai/glm-5v-turbo","1"
