"Name","DisplayName","State","StartMode","StartName","ProcessId","PathName"
"Netman","Network Connections","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NgcCtnrSvc","Microsoft Passport Container","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","Microsoft Passport","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NlaSvc","Network Location Awareness","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k netprofm -p"
"NPSMSvc_9f735","Now Playing Session Manager Service_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"OneSyncSvc_9f735","Sync Host_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"P9RdrService_9f735","P9RdrService_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k P9RdrService -p"
"PenService_9f735","PenService_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k PenService"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationService.exe"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\SysWow64\perfhost.exe"
"PhoneSvc","Phone Service","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"PimIndexMaintenanceSvc_9f735","Contact Data_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"pla","Performance Logs & Alerts","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p"
"PrintDeviceConfigurationService","Print Device Configuration Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k print"
"PrintScanBrokerService","PrintScanBrokerService","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k PrintScanBrokerService -p"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"refsdedupsvc","ReFS Dedup Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\ReFsDedupSvc.exe"
"RetailDemo","Retail Demo Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k rdxgroup"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\system32\locator.exe"
"SCardSvr","Smart Card","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs"
"SDRSVC","Windows Backup","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\svchost.exe -k SDRSVC"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"SensorDataService","Sensor Data Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\SensorDataService.exe"
"SensorService","Sensor Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k smphost"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"SNMPTrap","SNMP Trap","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\snmptrap.exe"
"svsvc","Spot Verifier","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k swprv"
"SystemUsageReportSvc_QUEENCREEK","Intel(R) System Usage Report Service SystemUsageReportSvc_QUEENCREEK","Stopped","Manual","LocalSystem","0","""C:\Program Files\Intel\SUR\QUEENCREEK\SurSvc.exe"""
"TapiSrv","Telephony","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"TermService","Remote Desktop Services","Stopped","Manual","NT Authority\NetworkService","0","C:\WINDOWS\System32\svchost.exe -k NetworkService"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\TieringEngineService.exe"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","localSystem","0","C:\WINDOWS\servicing\TrustedInstaller.exe"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnistoreSvc_9f735","User Data Storage_9f735","Stopped","Manual",,"0","C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup"
"upnphost","UPnP Device Host","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"USER_ESRV_SVC_QUEENCREEK","User Energy Server Service queencreek","Stopped","Manual","LocalSystem","0","""C:\Program Files\Intel\SUR\QUEENCREEK\x64\esrv_svc.exe"" ""--run_as_user_process"" "
"UserDataSvc_9f735","User Data Access_9f735","Stopped","Manual",,"0","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup"
"VaultSvc","Credential Manager","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\lsass.exe"
"vds","Virtual Disk","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\vds.exe"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k ICService -p"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k ICService -p"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestrictedRedirectionGuard -p"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual","LocalSystem","0","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\VSInstallerElevationService.exe"""
"VSS","Volume Shadow Copy","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\vssvc.exe"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150","Stopped","Manual","LocalSystem","0","""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe"""
"W32Time","Windows Time","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k wusvcs -p"
"WalletService","WalletService","Stopped","Manual","LocalSystem","0","C:\WINDOWS\System32\svchost.exe -k appmodel -p"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","localSystem","0","""C:\WINDOWS\system32\wbengine.exe"""
"WbioSrvc","Windows Biometric Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k WbioSvcGroup"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"WebClient","WebClient","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalService -p"
"Wecsvc","Windows Event Collector","Stopped","Manual","NT AUTHORITY\NetworkService","0","C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k WepHostSvcGroup"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","localSystem","0","C:\WINDOWS\System32\svchost.exe -k netsvcs -p"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"wisvc","Windows Insider Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","NT Authority\LocalService","0","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WManSvc","Windows Management Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\wbem\WmiApSrv.exe"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","NT AUTHORITY\NetworkService","0","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"workfolderssvc","Work Folders","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\System32\svchost.exe -k LocalService -p"
"WpcMonSvc","Parental Controls","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalService"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted"
"wuauserv","Windows Update","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped","Manual","NT AUTHORITY\LocalService","0","C:\WINDOWS\system32\svchost.exe -k WuqiSvcGroup -p"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","localSystem","0","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p"
"XblGameSave","Xbox Live Game Save","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual","LocalSystem","0","C:\WINDOWS\system32\svchost.exe -k netsvcs -p"
"NetSetupSvc","NetSetupSvc","Stopped","Unknown",,"0",
