BARMATRIX Q#,Finished
18385,
18399,
18400,
18406,
18407,
18413,
18415,
18420,
18431,
18442,
18447,
18456,
18465,
18466,
18471,
18477,Completed
18484,
18493,
18496,
18500,
18501,
18518,
18550,
18551,
18554,
18563,
18565,
18574,
18580,
18581,
18587,
18598,
18599,
18601,
18610,
18620,
18625,
18640,
18678,
18681,
18682,
18690,
18703,
18707,
18714,
18718,
18721,
18737,
18747,Completed
18759,
18765,
18768,
18778,
18786,
18788,
18812,
18822,
18823,
18829,
18843,Completed
18850,
18857,
18861,
18864,
18884,
18892,
18909,
18932,
18934,
18944,
18956,
18964,
18968,
18980,
18983,
18988,
18992,
19000,
19005,
19008,
19019,
19027,
19033,
19035,
19042,
19055,
19057,
19064,
19074,
19075,
19080,
19082,
19083,
19099,
19105,
19115,
19133,
19143,
19144,
19155,
19163,
19167,
19170,
19175,
19229,
19232,
19233,
19261,
19263,Completed
19271,
19281,
19289,
19309,
19322,
19336,Completed
19345,
19346,
19347,
19356,
19357,
19360,
19361,
19367,
19369,
19420,
19454,
19459,
19462,
19463,
19471,
19480,
19481,
19484,
19499,Completed
19500,
19501,
19508,
19538,
19554,Completed
19566,
19572,
19596,
19597,
19602,
19619,
19628,
19633,
19636,
19651,
19676,
19691,
19692,
19712,
19720,
19731,
19733,
19737,
19743,
19746,
19751,
19757,
19762,
19767,
19770,
19771,
19781,
19796,
19823,
19827,
19833,
19846,
19848,
19863,
19864,
19870,
19882,
19886,
19893,
19898,
19908,
19915,
19934,
19937,
19951,
19954,
19955,
19956,
19957,
19964,
19969,
19972,
19981,
19992,
19995,
19996,
20023,
20031,
20034,
20036,
20040,
20055,
20089,
20095,
20096,
20097,
20108,
20112,
20122,
20127,Completed
20131,
20133,
20150,
20165,
20168,
20180,
20188,
20194,
20197,
20205,
20225,
20227,
20228,
20233,
20250,
20258,Completed
20263,
20265,
20268,
20280,
20314,
20320,
20323,
20335,
20347,
20350,
20385,
20387,Completed
20391,
20397,
20412,
20416,
20421,
20426,
20427,
20449,
20472,
20476,Completed
20483,
20484,
20497,
20503,
20516,Completed
20528,
20542,Completed
20548,
20555,
20575,
20580,
20592,
20595,
20597,Completed
20601,
20611,
20629,
20636,
20640,
20654,Completed
20658,
20672,
20674,
20687,
20689,
20691,
20698,
20700,
20708,
20749,
20780,
20789,
20793,
20797,
20806,
20812,
20816,
20820,
20828,
20836,
20876,
20881,
20882,
20888,
20889,
20903,
20931,
20936,
20938,
20943,
20945,
20948,
20953,
20954,
20961,
20971,
20984,
20988,
20990,
20996,
21004,
21006,
21011,
21022,
21024,
21027,
21031,
21037,
21040,
21058,
21074,
21076,
21080,
21081,
21084,
21105,
21121,
21130,
21131,
21143,
21151,
21153,
21156,
21157,
21165,
21168,
21171,
21184,
21189,
21191,
21196,
21197,
21234,
21244,
21245,
21263,
21273,
21284,
21306,
21320,
21323,
21326,
21342,
21344,
21348,
21357,
21358,
21367,
21374,
21410,
21412,
21413,
21420,
21425,
21426,
21432,
21460,
21464,
21476,
21489,
21494,
21497,
21499,
21504,
21526,
21530,
21538,
21539,
21562,
21572,
21583,
21596,
21597,
21599,
21601,
21604,
21605,
21606,
21607,
21619,
21620,
21629,
21638,
21640,
21650,
21651,
21657,
21675,
21689,
21690,
21699,
21700,
21706,
21707,
21718,
21719,
21723,
21754,
21763,
21770,
21783,
21787,
21789,
21797,
21804,
21812,
21830,
21843,
21845,
21852,
21867,Completed
21869,Completed
21875,
22274,Completed
22275,Completed
22277,
22281,
22284,Completed
22286,Completed
22287,Completed
22288,Completed
22291,Completed
22292,Completed
22293,Completed
22297,
22299,
22303,
22306,
22309,
22311,
22313,
22316,
22319,
22321,
22325,
22327,
22328,
22330,
22331,
22335,
22338,
22341,
22343,
22346,
22349,
22350,
22362,
22364,
22365,
22367,
22369,
22370,
22375,
22380,
22382,
22383,
22384,
22392,
22398,
22400,
22402,
22405,
22408,
22409,
22410,
22411,
